Taal;Classificatie;Tabel;Class-tekstcodenotatie;Class-codenotatie;tekst_NL-SfB;fullname_nl;shortname_nl
nl-NL;NL/SfB;Tabel 1;(0-.16);0-.16;"indirecte projectvoorzieningen; werkterreininrichting, voorzieningen belendende percelen";"(0-.16) indirecte projectvoorzieningen; werkterreininrichting, voorzieningen belendende percelen";NL/SfB - Tabel 1 - (0-.16)
nl-NL;NL/SfB;Tabel 1;(0-.17);0-.17;"indirecte projectvoorzieningen; werkterreininrichting, onderhoudsvoorzieningen";"(0-.17) indirecte projectvoorzieningen; werkterreininrichting, onderhoudsvoorzieningen";NL/SfB - Tabel 1 - (0-.17)
nl-NL;NL/SfB;Tabel 1;(0-.2);0-.2;materieelvoorzieningen;(0-.2) materieelvoorzieningen;NL/SfB - Tabel 1 - (0-.2)
nl-NL;NL/SfB;Tabel 1;(0-.20);0-.20;"indirecte projectvoorzieningen; materieelvoorzieningen, algemeen";"(0-.20) indirecte projectvoorzieningen; materieelvoorzieningen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (0-.20)
nl-NL;NL/SfB;Tabel 1;(0-.21);0-.21;"indirecte projectvoorzieningen; materieelvoorzieningen, transport";"(0-.21) indirecte projectvoorzieningen; materieelvoorzieningen, transport";NL/SfB - Tabel 1 - (0-.21)
nl-NL;NL/SfB;Tabel 1;(0-.22);0-.22;"indirecte projectvoorzieningen; materieelvoorzieningen, gereedschappen";"(0-.22) indirecte projectvoorzieningen; materieelvoorzieningen, gereedschappen (algemeen)";NL/SfB - Tabel 1 - (0-.22)
nl-NL;NL/SfB;Tabel 1;(0-.3);0-.3;risicodekking;(0-.3) risicodekking;NL/SfB - Tabel 1 - (0-.3)
nl-NL;NL/SfB;Tabel 1;(0-.30);0-.30;"indirecte projectvoorzieningen; risicodekking, algemeen";"(0-.30) indirecte projectvoorzieningen; risicodekking, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (0-.30)
nl-NL;NL/SfB;Tabel 1;(0-.31);0-.31;"indirecte projectvoorzieningen; risicodekking, verzekeringen";"(0-.31) indirecte projectvoorzieningen; risicodekking, verzekeringen";NL/SfB - Tabel 1 - (0-.31)
nl-NL;NL/SfB;Tabel 1;(0-.32);0-.32;"indirecte projectvoorzieningen; risicodekking, waarborgen";"(0-.32) indirecte projectvoorzieningen; risicodekking, waarborgen";NL/SfB - Tabel 1 - (0-.32)
nl-NL;NL/SfB;Tabel 1;(0-.33);0-.33;"indirecte projectvoorzieningen; risicodekking, prijsstijgingen";"(0-.33) indirecte projectvoorzieningen; risicodekking, prijsstijgingen";NL/SfB - Tabel 1 - (0-.33)
nl-NL;NL/SfB;Tabel 1;(0-.4);0-.4;projectorganisatie;(0-.4) projectorganisatie;NL/SfB - Tabel 1 - (0-.4)
nl-NL;NL/SfB;Tabel 1;(0-.40);0-.40;"indirecte projectvoorzieningen; projectorganisatie, algemeen";"(0-.40) indirecte projectvoorzieningen; projectorganisatie, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (0-.40)
nl-NL;NL/SfB;Tabel 1;(0-.41);0-.41;"indirecte projectvoorzieningen; projectorganisatie, administratie";"(0-.41) indirecte projectvoorzieningen; projectorganisatie, administratie";NL/SfB - Tabel 1 - (0-.41)
nl-NL;NL/SfB;Tabel 1;(0-.42);0-.42;"indirecte projectvoorzieningen; projectorganisatie, uitvoering";"(0-.42) indirecte projectvoorzieningen; projectorganisatie, uitvoering";NL/SfB - Tabel 1 - (0-.42)
nl-NL;NL/SfB;Tabel 1;(0-.43);0-.43;"indirecte projectvoorzieningen; projectorganisatie, documentatie";"(0-.43) indirecte projectvoorzieningen; projectorganisatie, documentatie";NL/SfB - Tabel 1 - (0-.43)
nl-NL;NL/SfB;Tabel 1;(0-.5);0-.5;bedrijfsorganisatie;(0-.5) bedrijfsorganisatie;NL/SfB - Tabel 1 - (0-.5)
nl-NL;NL/SfB;Tabel 1;(0-.50);0-.50;"indirecte projectvoorzieningen; bedrijfsorganisatie, algemeen";"(0-.50) indirecte projectvoorzieningen; bedrijfsorganisatie, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (0-.50)
nl-NL;NL/SfB;Tabel 1;(0-.51);0-.51;"indirecte projectvoorzieningen; bedrijfsorganisatie, bestuur en directie";"(0-.51) indirecte projectvoorzieningen; bedrijfsorganisatie, bestuur en directie";NL/SfB - Tabel 1 - (0-.51)
nl-NL;NL/SfB;Tabel 1;(0-.52);0-.52;"indirecte projectvoorzieningen; bedrijfsorganisatie, winstregelingen";"(0-.52) indirecte projectvoorzieningen; bedrijfsorganisatie, winstregelingen";NL/SfB - Tabel 1 - (0-.52)
nl-NL;NL/SfB;Tabel 1;(1-);1-;FUNDERINGEN;(1-) FUNDERINGEN;NL/SfB - Tabel 1 - (1-)
nl-NL;NL/SfB;Tabel 1;(10);10;-gereserveerd-;(10) -gereserveerd-;NL/SfB - Tabel 1 - (10)
nl-NL;NL/SfB;Tabel 1;(11);11;Bodemvoorzieningen;(11) Bodemvoorzieningen;NL/SfB - Tabel 1 - (11)
nl-NL;NL/SfB;Tabel 1;(11.0);11.0;"bodemvoorzieningen; algemeen";"(11.0) bodemvoorzieningen; algemeen";NL/SfB - Tabel 1 - (11.0)
nl-NL;NL/SfB;Tabel 1;(11.1);11.1;"bodemvoorzieningen; grond";"(11.1) bodemvoorzieningen; grond";NL/SfB - Tabel 1 - (11.1)
nl-NL;NL/SfB;Tabel 1;(11.10);11.10;"bodemvoorzieningen; grond, algemeen (verzamelniveau)";"(11.10) bodemvoorzieningen; grond, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (11.10)
nl-NL;NL/SfB;Tabel 1;(11.11);11.11;"bodemvoorzieningen; grond, ontgravingen";"(11.11) bodemvoorzieningen; grond, ontgravingen";NL/SfB - Tabel 1 - (11.11)
nl-NL;NL/SfB;Tabel 1;(11.12);11.12;"bodemvoorzieningen; grond, aanvullingen";"(11.12) bodemvoorzieningen; grond, aanvullingen";NL/SfB - Tabel 1 - (11.12)
nl-NL;NL/SfB;Tabel 1;(11.13);11.13;"bodemvoorzieningen; grond, sloop- en rooiwerkzaamheden";"(11.13) bodemvoorzieningen; grond, sloop- en rooiwerkzaamheden";NL/SfB - Tabel 1 - (11.13)
nl-NL;NL/SfB;Tabel 1;(11.15);11.15;"bodemvoorzieningen; grond, damwanden";"(11.15) bodemvoorzieningen; grond, damwanden";NL/SfB - Tabel 1 - (11.15)
nl-NL;NL/SfB;Tabel 1;(11.2);11.2;"bodemvoorzieningen; water";"(11.2) bodemvoorzieningen; water";NL/SfB - Tabel 1 - (11.2)
nl-NL;NL/SfB;Tabel 1;(11.20);11.20;"bodemvoorzieningen; water, algemeen (verzamelniveau)";"(11.20) bodemvoorzieningen; water, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (11.20)
nl-NL;NL/SfB;Tabel 1;(11.24);11.24;"bodemvoorzieningen; water, bemalingen";"(11.24) bodemvoorzieningen; water, bemalingen";NL/SfB - Tabel 1 - (11.24)
nl-NL;NL/SfB;Tabel 1;(11.25);11.25;"bodemvoorzieningen; water, damwanden";"(11.25) bodemvoorzieningen; water, damwanden";NL/SfB - Tabel 1 - (11.25)
nl-NL;NL/SfB;Tabel 1;(12);12;-gereserveerd-;(12) -gereserveerd-;NL/SfB - Tabel 1 - (12)
nl-NL;NL/SfB;Tabel 1;(13);13;Vloeren op grondslag;(13) Vloeren op grondslag;NL/SfB - Tabel 1 - (13)
nl-NL;NL/SfB;Tabel 1;(13.0);13.0;"vloeren op grondslag; algemeen";"(13.0) vloeren op grondslag; algemeen";NL/SfB - Tabel 1 - (13.0)
nl-NL;NL/SfB;Tabel 1;(13.1);13.1;"vloeren op grondslag; niet constructief";"(13.1) vloeren op grondslag; niet constructief";NL/SfB - Tabel 1 - (13.1)
nl-NL;NL/SfB;Tabel 1;(13.10);13.10;"vloeren op grondslag; niet constructief, algemeen (verzamelniveau)";"(13.10) vloeren op grondslag; niet constructief, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (13.10)
nl-NL;NL/SfB;Tabel 1;(13.11);13.11;"vloeren op grondslag; niet constructief, bodemafsluitingen";"(13.11) vloeren op grondslag; niet constructief, bodemafsluitingen";NL/SfB - Tabel 1 - (13.11)
nl-NL;NL/SfB;Tabel 1;(13.12);13.12;"vloeren op grondslag; niet constructief, vloeren als gebouwonderdeel";"(13.12) vloeren op grondslag; niet constructief, vloeren als gebouwonderdeel";NL/SfB - Tabel 1 - (13.12)
nl-NL;NL/SfB;Tabel 1;(13.13);13.13;"vloeren op grondslag; niet constructief, vloeren als bestrating";"(13.13) vloeren op grondslag; niet constructief, vloeren als bestrating";NL/SfB - Tabel 1 - (13.13)
nl-NL;NL/SfB;Tabel 1;(13.2);13.2;"vloeren op grondslag; constructief";"(13.2) vloeren op grondslag; constructief";NL/SfB - Tabel 1 - (13.2)
nl-NL;NL/SfB;Tabel 1;(13.20);13.20;"vloeren op grondslag; constructief, algemeen (verzamelniveau)";"(13.20) vloeren op grondslag; constructief, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (13.20)
nl-NL;NL/SfB;Tabel 1;(13.21);13.21;"vloeren op grondslag; constructief, bodemafsluitingen";"(13.21) vloeren op grondslag; constructief, bodemafsluitingen";NL/SfB - Tabel 1 - (13.21)
nl-NL;NL/SfB;Tabel 1;(13.22);13.22;"vloeren op grondslag; constructief, vloeren als gebouwonderdeel";"(13.22) vloeren op grondslag; constructief, vloeren als gebouwonderdeel";NL/SfB - Tabel 1 - (13.22)
nl-NL;NL/SfB;Tabel 1;(13.25);13.25;"vloeren op grondslag; constructief, grondverbeteringen";"(13.25) vloeren op grondslag; constructief, grondverbeteringen";NL/SfB - Tabel 1 - (13.25)
nl-NL;NL/SfB;Tabel 1;(14);14;-gereserveerd-;(14) -gereserveerd-;NL/SfB - Tabel 1 - (14)
nl-NL;NL/SfB;Tabel 1;(15);15;-gereserveerd-;(15) -gereserveerd-;NL/SfB - Tabel 1 - (15)
nl-NL;NL/SfB;Tabel 1;(16);16;Funderingsconstructies;(16) Funderingsconstructies;NL/SfB - Tabel 1 - (16)
nl-NL;NL/SfB;Tabel 1;(16.0);16.0;"funderingsconstructies; algemeen";"(16.0) funderingsconstructies; algemeen";NL/SfB - Tabel 1 - (16.0)
nl-NL;NL/SfB;Tabel 1;(16.1);16.1;"funderingsconstructies; voeten en balken";"(16.1) funderingsconstructies; voeten en balken";NL/SfB - Tabel 1 - (16.1)
nl-NL;NL/SfB;Tabel 1;(16.10);16.10;"funderingsconstructies; voeten en balken, algemeen (verzamelniveau)";"(16.10) funderingsconstructies; voeten en balken, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (16.10)
nl-NL;NL/SfB;Tabel 1;(16.11);16.11;"funderingsconstructies; voeten en balken, fundatie voeten";"(16.11) funderingsconstructies; voeten en balken, fundatie voeten";NL/SfB - Tabel 1 - (16.11)
nl-NL;NL/SfB;Tabel 1;(16.12);16.12;"funderingsconstructies; voeten en balken, fundatie balken";"(16.12) funderingsconstructies; voeten en balken, fundatie balken";NL/SfB - Tabel 1 - (16.12)
nl-NL;NL/SfB;Tabel 1;(16.13);16.13;"funderingsconstructies; voeten en balken, fundatie poeren";"(16.13) funderingsconstructies; voeten en balken, fundatie poeren";NL/SfB - Tabel 1 - (16.13)
nl-NL;NL/SfB;Tabel 1;(16.14);16.14;"funderingsconstructies; voeten en balken, gevelwanden (-200)";"(16.14) funderingsconstructies; voeten en balken, gevelwanden (-200)";NL/SfB - Tabel 1 - (16.14)
nl-NL;NL/SfB;Tabel 1;(16.15);16.15;"funderingsconstructies; voeten en balken, grondverbeteringen";"(16.15) funderingsconstructies; voeten en balken, grondverbeteringen";NL/SfB - Tabel 1 - (16.15)
nl-NL;NL/SfB;Tabel 1;(16.2);16.2;"funderingsconstructies; keerwanden";"(16.2) funderingsconstructies; keerwanden";NL/SfB - Tabel 1 - (16.2)
nl-NL;NL/SfB;Tabel 1;(16.20);16.20;"funderingsconstructies; keerwanden, algemeen (verzamelniveau)";"(16.20) funderingsconstructies; keerwanden, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (16.20)
nl-NL;NL/SfB;Tabel 1;(16.21);16.21;"funderingsconstructies; keerwanden, grondkerende wanden";"(16.21) funderingsconstructies; keerwanden, grondkerende wanden";NL/SfB - Tabel 1 - (16.21)
nl-NL;NL/SfB;Tabel 1;(16.22);16.22;"funderingsconstructies; keerwanden, waterkerende wanden";"(16.22) funderingsconstructies; keerwanden, waterkerende wanden";NL/SfB - Tabel 1 - (16.22)
nl-NL;NL/SfB;Tabel 1;(16.23);16.23;"funderingsconstructies; keerwanden, gevelwanden (-200)";"(16.23) funderingsconstructies; keerwanden, gevelwanden (-200)";NL/SfB - Tabel 1 - (16.23)
nl-NL;NL/SfB;Tabel 1;(16.25);16.25;"funderingsconstructies; keerwanden, grondverbeteringen";"(16.25) funderingsconstructies; keerwanden, grondverbeteringen";NL/SfB - Tabel 1 - (16.25)
nl-NL;NL/SfB;Tabel 1;(17);17;Paalfunderingen;(17) Paalfunderingen;NL/SfB - Tabel 1 - (17)
nl-NL;NL/SfB;Tabel 1;(17.0);17.0;"paalfunderingen; algemeen";"(17.0) paalfunderingen; algemeen";NL/SfB - Tabel 1 - (17.0)
nl-NL;NL/SfB;Tabel 1;(17.1);17.1;"paalfunderingen; niet geheid";"(17.1) paalfunderingen; niet geheid";NL/SfB - Tabel 1 - (17.1)
nl-NL;NL/SfB;Tabel 1;(17.10);17.10;"paalfunderingen; niet geheid, algemeen (verzamelniveau)";"(17.10) paalfunderingen; niet geheid, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (17.10)
nl-NL;NL/SfB;Tabel 1;(17.11);17.11;"paalfunderingen; niet geheid, dragende palen; geboord";"(17.11) paalfunderingen; niet geheid, dragende palen; geboord";NL/SfB - Tabel 1 - (17.11)
nl-NL;NL/SfB;Tabel 1;(17.12);17.12;"paalfunderingen; niet geheid, dragende palen; geschroefd";"(17.12) paalfunderingen; niet geheid, dragende palen; geschroefd";NL/SfB - Tabel 1 - (17.12)
nl-NL;NL/SfB;Tabel 1;(17.13);17.13;"paalfunderingen; niet geheid, trekverankeringen";"(17.13) paalfunderingen; niet geheid, trekverankeringen";NL/SfB - Tabel 1 - (17.13)
nl-NL;NL/SfB;Tabel 1;(17.14);17.14;"paalfunderingen; niet geheid, pijler-putringfunderingen";"(17.14) paalfunderingen; niet geheid, pijler-putringfunderingen";NL/SfB - Tabel 1 - (17.14)
nl-NL;NL/SfB;Tabel 1;(17.15);17.15;"paalfunderingen; niet geheid, bodeminjecties";"(17.15) paalfunderingen; niet geheid, bodeminjecties";NL/SfB - Tabel 1 - (17.15)
nl-NL;NL/SfB;Tabel 1;(17.2);17.2;"paalfunderingen; geheid";"(17.2) paalfunderingen; geheid";NL/SfB - Tabel 1 - (17.2)
nl-NL;NL/SfB;Tabel 1;(17.20);17.20;"paalfunderingen; geheid, algemeen (verzamelniveau)";"(17.20) paalfunderingen; geheid, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (17.20)
nl-NL;NL/SfB;Tabel 1;(17.21);17.21;"paalfunderingen; geheid, dragende palen";"(17.21) paalfunderingen; geheid, dragende palen";NL/SfB - Tabel 1 - (17.21)
nl-NL;NL/SfB;Tabel 1;(17.22);17.22;"paalfunderingen; geheid, palen; ingeheide bekisting";"(17.22) paalfunderingen; geheid, palen; ingeheide bekisting";NL/SfB - Tabel 1 - (17.22)
nl-NL;NL/SfB;Tabel 1;(17.23);17.23;"paalfunderingen; geheid, trekverankeringen";"(17.23) paalfunderingen; geheid, trekverankeringen";NL/SfB - Tabel 1 - (17.23)
nl-NL;NL/SfB;Tabel 1;(17.25);17.25;"paalfunderingen; geheid, damwandenfunderingen";"(17.25) paalfunderingen; geheid, damwandenfunderingen";NL/SfB - Tabel 1 - (17.25)
nl-NL;NL/SfB;Tabel 1;(18);18;-gereserveerd-;(18) -gereserveerd-;NL/SfB - Tabel 1 - (18)
nl-NL;NL/SfB;Tabel 1;(19);19;-gereserveerd-;(19) -gereserveerd-;NL/SfB - Tabel 1 - (19)
nl-NL;NL/SfB;Tabel 1;(2-);2-;RUWBOUW;(2-) RUWBOUW;NL/SfB - Tabel 1 - (2-)
nl-NL;NL/SfB;Tabel 1;(20);20;-gereserveerd-;(20) -gereserveerd-;NL/SfB - Tabel 1 - (20)
nl-NL;NL/SfB;Tabel 1;(21);21;Buitenwanden;(21) BUITENWANDEN;NL/SfB - Tabel 1 - (21)
nl-NL;NL/SfB;Tabel 1;(21.0);21.0;"buitenwanden; algemeen";"(21.0) buitenwanden; algemeen";NL/SfB - Tabel 1 - (21.0)
nl-NL;NL/SfB;Tabel 1;(21.1);21.1;"buitenwanden; niet constructief";"(21.1) buitenwanden; niet constructief";NL/SfB - Tabel 1 - (21.1)
nl-NL;NL/SfB;Tabel 1;(21.10);21.10;"buitenwanden; niet constructief, algemeen (verzamelniveau)";"(21.10) buitenwanden; niet constructief, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (21.10)
nl-NL;NL/SfB;Tabel 1;(21.11);21.11;"buitenwanden; niet constructief, massieve wanden";"(21.11) buitenwanden; niet constructief, massieve wanden";NL/SfB - Tabel 1 - (21.11)
nl-NL;NL/SfB;Tabel 1;(21.12);21.12;"buitenwanden; niet constructief, spouwwanden";"(21.12) buitenwanden; niet constructief, spouwwanden";NL/SfB - Tabel 1 - (21.12)
nl-NL;NL/SfB;Tabel 1;(21.13);21.13;"buitenwanden; niet constructief, systeemwanden";"(21.13) buitenwanden; niet constructief, systeemwanden";NL/SfB - Tabel 1 - (21.13)
nl-NL;NL/SfB;Tabel 1;(21.14);21.14;"buitenwanden; niet constructief, vlieswanden";"(21.14) buitenwanden; niet constructief, vlieswanden";NL/SfB - Tabel 1 - (21.14)
nl-NL;NL/SfB;Tabel 1;(21.15);21.15;"buitenwanden; niet constructief, borstweringen";"(21.15) buitenwanden; niet constructief, borstweringen";NL/SfB - Tabel 1 - (21.15)
nl-NL;NL/SfB;Tabel 1;(21.16);21.16;"buitenwanden; niet constructief, boeiboorden";"(21.16) buitenwanden; niet constructief, boeiboorden";NL/SfB - Tabel 1 - (21.16)
nl-NL;NL/SfB;Tabel 1;(21.2);21.2;"buitenwanden; constructief";"(21.2) buitenwanden; constructief";NL/SfB - Tabel 1 - (21.2)
nl-NL;NL/SfB;Tabel 1;(21.20);21.20;"buitenwanden; constructief, algemeen (verzamelniveau)";"(21.20) buitenwanden; constructief, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (21.20)
nl-NL;NL/SfB;Tabel 1;(21.21);21.21;"buitenwanden; constructief, massieve wanden";"(21.21) buitenwanden; constructief, massieve wanden";NL/SfB - Tabel 1 - (21.21)
nl-NL;NL/SfB;Tabel 1;(21.22);21.22;"buitenwanden; constructief, spouwwanden";"(21.22) buitenwanden; constructief, spouwwanden";NL/SfB - Tabel 1 - (21.22)
nl-NL;NL/SfB;Tabel 1;(21.23);21.23;"buitenwanden; constructief, systeemwanden";"(21.23) buitenwanden; constructief, systeemwanden";NL/SfB - Tabel 1 - (21.23)
nl-NL;NL/SfB;Tabel 1;(21.25);21.25;"buitenwanden; constructief, borstweringen";"(21.25) buitenwanden; constructief, borstweringen";NL/SfB - Tabel 1 - (21.25)
nl-NL;NL/SfB;Tabel 1;(22);22;Binnenwanden;(22) Binnenwanden;NL/SfB - Tabel 1 - (22)
nl-NL;NL/SfB;Tabel 1;(22.0);22.0;"binnenwanden; algemeen";"(22.0) binnenwanden; algemeen";NL/SfB - Tabel 1 - (22.0)
nl-NL;NL/SfB;Tabel 1;(22.1);22.1;"binnenwanden; niet constructief";"(22.1) binnenwanden; niet constructief";NL/SfB - Tabel 1 - (22.1)
nl-NL;NL/SfB;Tabel 1;(22.10);22.10;"binnenwanden; niet constructief, algemeen (verzamelniveau)";"(22.10) binnenwanden; niet constructief, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (22.10)
nl-NL;NL/SfB;Tabel 1;(22.11);22.11;"binnenwanden; niet constructief, massieve wanden";"(22.11) binnenwanden; niet constructief, massieve wanden";NL/SfB - Tabel 1 - (22.11)
nl-NL;NL/SfB;Tabel 1;(22.12);22.12;"binnenwanden; niet constructief, spouwwanden";"(22.12) binnenwanden; niet constructief, spouwwanden";NL/SfB - Tabel 1 - (22.12)
nl-NL;NL/SfB;Tabel 1;(22.13);22.13;"binnenwanden; niet constructief, systeemwanden; vast";"(22.13) binnenwanden; niet constructief, systeemwanden; vast";NL/SfB - Tabel 1 - (22.13)
nl-NL;NL/SfB;Tabel 1;(22.14);22.14;"binnenwanden; niet constructief, systeemwanden; verplaatsbaar";"(22.14) binnenwanden; niet constructief, systeemwanden; verplaatsbaar";NL/SfB - Tabel 1 - (22.14)
nl-NL;NL/SfB;Tabel 1;(22.2);22.2;"binnenwanden; constructief";"(22.2) binnenwanden; constructief";NL/SfB - Tabel 1 - (22.2)
nl-NL;NL/SfB;Tabel 1;(22.20);22.20;"binnenwanden; constructief, algemeen (verzamelniveau)";"(22.20) binnenwanden; constructief, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (22.20)
nl-NL;NL/SfB;Tabel 1;(22.21);22.21;"binnenwanden; constructief, massieve wanden";"(22.21) binnenwanden; constructief, massieve wanden";NL/SfB - Tabel 1 - (22.21)
nl-NL;NL/SfB;Tabel 1;(22.22);22.22;"binnenwanden; constructief, spouwwanden";"(22.22) binnenwanden; constructief, spouwwanden";NL/SfB - Tabel 1 - (22.22)
nl-NL;NL/SfB;Tabel 1;(22.23);22.23;"binnenwanden; constructief, systeemwanden; vast";"(22.23) binnenwanden; constructief, systeemwanden; vast";NL/SfB - Tabel 1 - (22.23)
nl-NL;NL/SfB;Tabel 1;(23);23;Vloeren;(23) Vloeren;NL/SfB - Tabel 1 - (23)
nl-NL;NL/SfB;Tabel 1;(23.0);23.0;"vloeren; algemeen";"(23.0) vloeren; algemeen";NL/SfB - Tabel 1 - (23.0)
nl-NL;NL/SfB;Tabel 1;(23.1);23.1;"vloeren; niet constructief";"(23.1) vloeren; niet constructief";NL/SfB - Tabel 1 - (23.1)
nl-NL;NL/SfB;Tabel 1;(23.10);23.10;"vloeren; niet constructief, algemeen (verzamelniveau)";"(23.10) vloeren; niet constructief, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (23.10)
nl-NL;NL/SfB;Tabel 1;(23.11);23.11;"vloeren; niet constructief, vrijdragende vloeren";"(23.11) vloeren; niet constructief, vrijdragende vloeren";NL/SfB - Tabel 1 - (23.11)
nl-NL;NL/SfB;Tabel 1;(23.12);23.12;"vloeren; niet constructief, balkons";"(23.12) vloeren; niet constructief, balkons";NL/SfB - Tabel 1 - (23.12)
nl-NL;NL/SfB;Tabel 1;(23.13);23.13;"vloeren; niet constructief, galerijen";"(23.13) vloeren; niet constructief, galerijen";NL/SfB - Tabel 1 - (23.13)
nl-NL;NL/SfB;Tabel 1;(23.14);23.14;"vloeren; niet constructief, bordessen";"(23.14) vloeren; niet constructief, bordessen";NL/SfB - Tabel 1 - (23.14)
nl-NL;NL/SfB;Tabel 1;(23.15);23.15;"vloeren; niet constructief, vloeren t.b.v. technische voorzieningen";"(23.15) vloeren; niet constructief, vloeren t.b.v. technische voorzieningen";NL/SfB - Tabel 1 - (23.15)
nl-NL;NL/SfB;Tabel 1;(23.2);23.2;"vloeren; constructief";"(23.2) vloeren; constructief";NL/SfB - Tabel 1 - (23.2)
nl-NL;NL/SfB;Tabel 1;(23.20);23.20;"vloeren; constructief, algemeen (verzamelniveau)";"(23.20) vloeren; constructief, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (23.20)
nl-NL;NL/SfB;Tabel 1;(23.21);23.21;"vloeren; constructief, vrijdragende vloeren";"(23.21) vloeren; constructief, vrijdragende vloeren";NL/SfB - Tabel 1 - (23.21)
nl-NL;NL/SfB;Tabel 1;(23.22);23.22;"vloeren; constructief, balkons";"(23.22) vloeren; constructief, balkons";NL/SfB - Tabel 1 - (23.22)
nl-NL;NL/SfB;Tabel 1;(23.23);23.23;"vloeren; constructief, galerijen";"(23.23) vloeren; constructief, galerijen";NL/SfB - Tabel 1 - (23.23)
nl-NL;NL/SfB;Tabel 1;(23.24);23.24;"vloeren; constructief, bordessen";"(23.24) vloeren; constructief, bordessen";NL/SfB - Tabel 1 - (23.24)
nl-NL;NL/SfB;Tabel 1;(23.25);23.25;"vloeren; constructief, vloeren t.b.v. technische voorzieningen";"(23.25) vloeren; constructief, vloeren t.b.v. technische voorzieningen";NL/SfB - Tabel 1 - (23.25)
nl-NL;NL/SfB;Tabel 1;(24);24;Trappen en hellingen;(24) Trappen en hellingen;NL/SfB - Tabel 1 - (24)
nl-NL;NL/SfB;Tabel 1;(24.0);24.0;"trappen en hellingen; algemeen";"(24.0) trappen en hellingen; algemeen";NL/SfB - Tabel 1 - (24.0)
nl-NL;NL/SfB;Tabel 1;(24.1);24.1;"trappen en hellingen; trappen";"(24.1) trappen en hellingen; trappen";NL/SfB - Tabel 1 - (24.1)
nl-NL;NL/SfB;Tabel 1;(24.10);24.10;"trappen en hellingen; trappen, algemeen (verzamelniveau)";"(24.10) trappen en hellingen; trappen, algemeen (verzamelniveau)";NL/SfB - Tabel 1 - (24.10)
